@relation 'featureTesting_1-weka.filters.unsupervised.attribute.NumericToNominal-R1-4,9-weka.filters.unsupervised.attribute.NominalToString-C1-4,9'

@attribute geid string
@attribute gseason string
@attribute gweek string
@attribute htid string
@attribute hthwr numeric
@attribute htowr numeric
@attribute hthtor numeric
@attribute hthtop numeric
@attribute atid string
@attribute atawr numeric
@attribute atowr numeric
@attribute atator numeric
@attribute atatop numeric
@attribute gw {h,a}

@data
2015091000,2015,1,11,0.875,0.75,0.375,0.489826,4,0.625,0.6875,1,0.557986,h
2015091300,2015,1,17,0.25,0.3125,1.875,0.502951,19,0.625,0.8125,0.875,0.492743,a
2015091301,2015,1,32,0.5,0.4375,1.5,0.473867,31,0.625,0.75,0.625,0.576342,h
2015091302,2015,1,7,0.375,0.1875,1.875,0.460451,22,0.375,0.4375,1.25,0.555382,a
2015091303,2015,1,28,0.25,0.1875,2.625,0.486771,10,0.625,0.5625,1.375,0.486076,a
2015091304,2015,1,9,0.625,0.5625,1.625,0.504444,6,0.625,0.6875,1.75,0.504757,h
2015091305,2015,1,12,0.25,0.25,2,0.498993,3,0.375,0.4375,2.375,0.494965,h
2015091306,2015,1,5,0.5,0.5,1.625,0.490521,14,0.5,0.625,0.875,0.525556,a
2015091307,2015,1,29,0.875,0.6875,0.875,0.496736,23,0.5,0.4375,1.75,0.500126,h
2015091308,2015,1,16,0.625,0.5625,1.375,0.512847,18,0.5,0.6875,1.125,0.493854,h
2015091309,2015,1,13,1,0.75,1,0.518542,1,0.375,0.5625,1.875,0.457604,h
2015091310,2015,1,15,0.375,0.1875,1.375,0.472917,2,0.625,0.625,1.375,0.514028,a
2015091311,2015,1,24,0,0.125,1.5,0.473945,8,0.125,0.125,2.125,0.477014,a
2015091312,2015,1,25,0.625,0.8125,1.875,0.535945,27,0.375,0.375,1.25,0.510035,h
2015091400,2015,1,21,0.375,0.375,1.875,0.511319,26,0.375,0.5625,2.625,0.460035,h
2015091401,2015,1,30,0.625,0.5625,1.625,0.53387,20,0.125,0.375,1.25,0.481992,h
2015091700,2015,2,14,0.75,0.625,1.5,0.48625,13,0.625,0.8125,1.5,0.524063,a
2015092000,2015,2,22,0.5,0.4375,1.875,0.508814,5,0.375,0.4375,1.375,0.507174,h
2015092001,2015,2,9,0.625,0.5625,2,0.507813,11,0.75,0.8125,1.25,0.490347,a
2015092002,2015,2,2,0.625,0.625,2.125,0.486493,16,0.5,0.5625,2.125,0.509915,h
2015092003,2015,2,3,0.5,0.4375,1.125,0.447083,8,0.125,0.125,2.25,0.485174,h
2015092004,2015,2,27,0.375,0.375,1.625,0.503854,21,0.5,0.4375,0.75,0.488993,a
2015092005,2015,2,28,0.375,0.25,2,0.518056,32,0.25,0.375,1.875,0.467361,h
2015092006,2015,2,17,0.25,0.3125,1.875,0.489549,29,0.5,0.6875,1.375,0.491042,a
2015092007,2015,2,20,0.75,0.4375,1,0.478465,18,0.375,0.625,1.5,0.481389,h
2015092008,2015,2,23,0.25,0.375,2.25,0.503516,24,0.375,0.1875,2.125,0.440534,a
2015092009,2015,2,4,0.75,0.6875,1.25,0.517535,30,0.375,0.5,1,0.525222,h
2015092010,2015,2,15,0.5,0.25,1,0.473854,1,0.375,0.5625,1.75,0.476701,h
2015092011,2015,2,7,0.5,0.25,1.625,0.471736,10,0.5,0.5,1,0.483924,h
2015092012,2015,2,26,0.625,0.5,2.125,0.407118,25,1,0.8125,1.25,0.555243,a
2015092013,2015,2,19,1,0.8125,0.625,0.535937,31,0.5,0.6875,0.875,0.559189,h
2015092100,2015,2,6,0.75,0.6875,2.625,0.544896,12,0.375,0.3125,0.875,0.518931,a
2015092400,2015,3,27,0.375,0.375,1.5,0.501632,28,0.125,0.25,1.625,0.523686,h
2015092700,2015,3,25,0.5,0.75,2,0.517264,21,0.625,0.5,0.5,0.50375,a
2015092701,2015,3,22,0.625,0.5,1.625,0.512807,23,0.5,0.375,1.75,0.502001,h
2015092702,2015,3,12,0.25,0.3125,2.125,0.498889,26,0.5,0.5625,2.25,0.48184,a
2015092703,2015,3,5,0.5,0.4375,1.375,0.501632,24,0.25,0.125,2.125,0.436332,h
2015092704,2015,3,20,0.75,0.4375,1.125,0.465236,16,0.375,0.5,2.375,0.513908,h
2015092705,2015,3,32,0.5,0.375,1.25,0.463138,4,0.625,0.6875,1.125,0.553125,a
2015092706,2015,3,11,0.875,0.8125,0.375,0.480938,7,0,0.25,1.375,0.443924,h
2015092707,2015,3,1,0.75,0.5625,0.625,0.514931,2,0.75,0.6875,1.25,0.532917,a
2015092708,2015,3,3,0.5,0.4375,1.375,0.443819,15,0.125,0.3125,2.125,0.499618,a
2015092709,2015,3,8,0.125,0.125,1.25,0.460833,6,0.625,0.6875,2,0.479688,a
2015092710,2015,3,29,0.875,0.6875,0.875,0.515208,30,0.375,0.5,1.5,0.506749,h
2015092711,2015,3,31,0.875,0.6875,1,0.528289,17,0.25,0.25,1.5,0.501233,h
2015092712,2015,3,10,0.375,0.4375,1.375,0.494236,9,0.5,0.5625,1.125,0.494514,a
2015092713,2015,3,18,0.75,0.5625,1.625,0.533715,13,0.625,0.8125,1.75,0.514271,a
2015092800,2015,3,19,1,0.8125,0.5,0.547708,14,0.375,0.5625,0.75,0.510556,h
2015100100,2015,4,4,0.75,0.6875,1.125,0.503701,1,0.375,0.5625,1.875,0.477028,a
2015100400,2015,4,10,0.375,0.4375,1.625,0.486562,12,0.5,0.375,0.75,0.552855,a
2015100401,2015,4,17,0.375,0.3125,1.875,0.51191,15,0.125,0.3125,2.25,0.495903,h
2015100402,2015,4,21,0.375,0.5,1.375,0.518021,5,0.375,0.4375,1.5,0.500299,h
2015100403,2015,4,2,0.625,0.6875,2,0.474792,14,0.375,0.5625,0.75,0.537535,h
2015100404,2015,4,6,0.75,0.6875,2.75,0.51745,7,0,0.25,1.25,0.464425,h
2015100405,2015,4,28,0.5,0.3125,2.125,0.551528,26,0.5,0.5625,2.125,0.456215,h
2015100406,2015,4,24,0,0.125,2,0.482799,22,0.5,0.5625,1.25,0.551701,a
2015100407,2015,4,9,0.625,0.5625,1.875,0.507361,27,0.375,0.375,1.25,0.496007,a
2015100408,2015,4,16,0.625,0.5,1.375,0.505035,3,0.25,0.375,2.375,0.505451,h
2015100409,2015,4,30,0.5,0.4375,1.625,0.494599,19,0.75,0.875,0.75,0.523542,a
2015100410,2015,4,29,0.75,0.625,1.25,0.512917,32,0.375,0.4375,1.5,0.454444,a
2015100411,2015,4,13,1,0.8125,1.25,0.523403,20,0.125,0.4375,1.375,0.497513,h
2015100412,2015,4,23,0.25,0.375,1.875,0.4942,25,0.875,0.6875,1,0.559537,h
2015100500,2015,4,31,0.875,0.6875,1.25,0.522743,18,0.25,0.5,1.625,0.472187,h
2015100800,2015,5,5,0.5,0.4375,1.375,0.520938,6,0.625,0.6875,1.75,0.460382,a
2015101100,2015,5,26,0.625,0.5625,2.25,0.425521,23,0.5,0.375,1.875,0.503494,h
2015101101,2015,5,14,0.625,0.5,1.5,0.465278,17,0.25,0.3125,1.5,0.512657,a
2015101102,2015,5,2,0.75,0.75,2,0.487083,31,0.5,0.6875,1,0.545231,h
2015101103,2015,5,21,0.5,0.5625,1.625,0.53813,28,0.125,0.3125,1.75,0.506598,h
2015101104,2015,5,24,0.125,0.1875,1.875,0.497209,7,0,0.25,1.125,0.453487,h
2015101105,2015,5,1,0.625,0.5,0.625,0.494854,3,0.375,0.4375,2,0.518062,a
2015101106,2015,5,8,0.125,0.125,1.375,0.470833,9,0.625,0.625,1,0.484965,a
2015101107,2015,5,19,1,0.875,0.875,0.540347,32,0.375,0.4375,1.875,0.473924,h
2015101108,2015,5,18,0.625,0.4375,2,0.530208,29,0.625,0.6875,1.375,0.488438,a
2015101109,2015,5,25,0.375,0.625,1.875,0.5193,11,0.75,0.8125,1.25,0.480417,a
2015101110,2015,5,15,0.5,0.3125,1.25,0.497153,13,0.75,0.875,1.75,0.504479,a
2015101111,2015,5,27,0.375,0.375,1.375,0.502222,30,0.25,0.375,1.375,0.505499,h
2015101200,2015,5,16,0.5,0.4375,1.5,0.494236,4,0.625,0.6875,1.125,0.534375,a
2015101500,2015,6,23,0.25,0.375,1.75,0.495971,21,0.625,0.5625,0.75,0.502049,h
2015101800,2015,6,18,0.75,0.5,2.125,0.539674,17,0.25,0.3125,1.125,0.50161,h
