"hthwr","htowr","hthtor","hthtop","atawr","atowr","atator","atatop","gw"
0.875,0.75,0.375,0.48982638120651245,0.625,0.6875,1,0.5579861402511597,"h"
0.25,0.3125,1.875,0.5029513835906982,0.625,0.8125,0.875,0.49274304509162903,"a"
0.5,0.4375,1.5,0.4738667905330658,0.625,0.75,0.625,0.5763415694236755,"h"
0.375,0.1875,1.875,0.4604513943195343,0.375,0.4375,1.25,0.5553819537162781,"a"
0.25,0.1875,2.625,0.4867708384990692,0.625,0.5625,1.375,0.48607638478279114,"a"
0.625,0.5625,1.625,0.504444420337677,0.625,0.6875,1.75,0.5047569274902344,"h"
0.25,0.25,2,0.49899306893348694,0.375,0.4375,2.375,0.4949652850627899,"h"
0.5,0.5,1.625,0.4905208349227905,0.5,0.625,0.875,0.5255555510520935,"a"
0.875,0.6875,0.875,0.4967361092567444,0.5,0.4375,1.75,0.5001262426376343,"h"
0.625,0.5625,1.375,0.5128472447395325,0.5,0.6875,1.125,0.4938541650772095,"h"
1,0.75,1,0.518541693687439,0.375,0.5625,1.875,0.45760416984558105,"h"
0.375,0.1875,1.375,0.4729166626930237,0.625,0.625,1.375,0.5140277743339539,"a"
0,0.125,1.5,0.47394514083862305,0.125,0.125,2.125,0.47701388597488403,"a"
0.625,0.8125,1.875,0.535944938659668,0.375,0.375,1.25,0.5100347399711609,"h"
0.375,0.375,1.875,0.5113194584846497,0.375,0.5625,2.625,0.46003472805023193,"h"
0.625,0.5625,1.625,0.5338699817657471,0.125,0.375,1.25,0.48199236392974854,"h"
0.75,0.625,1.5,0.48625001311302185,0.625,0.8125,1.5,0.5240625143051147,"a"
0.5,0.4375,1.875,0.50881427526474,0.375,0.4375,1.375,0.5071741938591003,"h"
0.625,0.5625,2,0.5078125,0.75,0.8125,1.25,0.4903472363948822,"a"
0.625,0.625,2.125,0.4864930510520935,0.5,0.5625,2.125,0.5099146962165833,"h"
0.5,0.4375,1.125,0.44708332419395447,0.125,0.125,2.25,0.48517361283302307,"h"
0.375,0.375,1.625,0.5038541555404663,0.5,0.4375,0.75,0.4889930486679077,"a"
0.375,0.25,2,0.5180555582046509,0.25,0.375,1.875,0.46736112236976624,"h"
0.25,0.3125,1.875,0.48954862356185913,0.5,0.6875,1.375,0.4910416603088379,"a"
0.75,0.4375,1,0.4784647226333618,0.375,0.625,1.5,0.4813888967037201,"h"
0.25,0.375,2.25,0.5035157799720764,0.375,0.1875,2.125,0.4405335485935211,"a"
0.75,0.6875,1.25,0.5175347328186035,0.375,0.5,1,0.5252215266227722,"h"
0.5,0.25,1,0.4738541543483734,0.375,0.5625,1.75,0.47670137882232666,"h"
0.5,0.25,1.625,0.4717361032962799,0.5,0.5,1,0.48392361402511597,"h"
0.625,0.5,2.125,0.4071180522441864,1,0.8125,1.25,0.5552430748939514,"a"
1,0.8125,0.625,0.535937488079071,0.5,0.6875,0.875,0.5591887831687927,"h"
0.75,0.6875,2.625,0.5448958277702332,0.375,0.3125,0.875,0.5189310908317566,"a"
0.375,0.375,1.5,0.5016319155693054,0.125,0.25,1.625,0.523686408996582,"h"
0.5,0.75,2,0.5172643661499023,0.625,0.5,0.5,0.5037500262260437,"a"
0.625,0.5,1.625,0.512807309627533,0.5,0.375,1.75,0.5020012855529785,"h"
0.25,0.3125,2.125,0.49888888001441956,0.5,0.5625,2.25,0.4818402826786041,"a"
0.5,0.4375,1.375,0.5016319155693054,0.25,0.125,2.125,0.4363321363925934,"h"
0.75,0.4375,1.125,0.46523556113243103,0.375,0.5,2.375,0.513907790184021,"h"
0.5,0.375,1.25,0.4631376266479492,0.625,0.6875,1.125,0.5531250238418579,"a"
0.875,0.8125,0.375,0.48093751072883606,0,0.25,1.375,0.44392362236976624,"h"
0.75,0.5625,0.625,0.5149305462837219,0.75,0.6875,1.25,0.5329166650772095,"a"
0.5,0.4375,1.375,0.44381943345069885,0.125,0.3125,2.125,0.4996180534362793,"a"
0.125,0.125,1.25,0.460833340883255,0.625,0.6875,2,0.47968751192092896,"a"
