"hthwr","htowr","atawr","atowr","gw"
0.875,0.75,0.625,0.6875,"h"
0.25,0.3125,0.625,0.8125,"a"
0.5,0.4375,0.625,0.75,"h"
0.375,0.1875,0.375,0.4375,"a"
0.25,0.1875,0.625,0.5625,"a"
0.625,0.5625,0.625,0.6875,"h"
0.25,0.25,0.375,0.4375,"h"
0.5,0.5,0.5,0.625,"a"
0.875,0.6875,0.5,0.4375,"h"
0.625,0.5625,0.5,0.6875,"h"
1,0.75,0.375,0.5625,"h"
0.375,0.1875,0.625,0.625,"a"
0,0.125,0.125,0.125,"a"
0.625,0.8125,0.375,0.375,"h"
0.375,0.375,0.375,0.5625,"h"
0.625,0.5625,0.125,0.375,"h"
0.75,0.625,0.625,0.8125,"a"
0.5,0.4375,0.375,0.4375,"h"
0.625,0.5625,0.75,0.8125,"a"
0.625,0.625,0.5,0.5625,"h"
0.5,0.4375,0.125,0.125,"h"
0.375,0.375,0.5,0.4375,"a"
0.375,0.25,0.25,0.375,"h"
0.25,0.3125,0.5,0.6875,"a"
0.75,0.4375,0.375,0.625,"h"
0.25,0.375,0.375,0.1875,"a"
0.75,0.6875,0.375,0.5,"h"
0.5,0.25,0.375,0.5625,"h"
0.5,0.25,0.5,0.5,"h"
0.625,0.5,1,0.8125,"a"
1,0.8125,0.5,0.6875,"h"
0.75,0.6875,0.375,0.3125,"a"
0.375,0.375,0.125,0.25,"h"
0.5,0.75,0.625,0.5,"a"
0.625,0.5,0.5,0.375,"h"
0.25,0.3125,0.5,0.5625,"a"
0.5,0.4375,0.25,0.125,"h"
0.75,0.4375,0.375,0.5,"h"
0.5,0.375,0.625,0.6875,"a"
0.875,0.8125,0,0.25,"h"
0.75,0.5625,0.75,0.6875,"a"
0.5,0.4375,0.125,0.3125,"a"
0.125,0.125,0.625,0.6875,"a"
0.875,0.6875,0.375,0.5,"h"
0.875,0.6875,0.25,0.25,"h"
0.375,0.4375,0.5,0.5625,"a"
0.75,0.5625,0.625,0.8125,"a"
1,0.8125,0.375,0.5625,"h"
0.75,0.6875,0.375,0.5625,"a"
0.375,0.4375,0.5,0.375,"a"
0.375,0.3125,0.125,0.3125,"h"
0.375,0.5,0.375,0.4375,"h"
0.625,0.6875,0.375,0.5625,"h"
0.75,0.6875,0,0.25,"h"
0.5,0.3125,0.5,0.5625,"h"
0,0.125,0.5,0.5625,"a"
0.625,0.5625,0.375,0.375,"a"
0.625,0.5,0.25,0.375,"h"
0.5,0.4375,0.75,0.875,"a"
0.75,0.625,0.375,0.4375,"a"
1,0.8125,0.125,0.4375,"h"
0.25,0.375,0.875,0.6875,"h"
0.875,0.6875,0.25,0.5,"h"
0.5,0.4375,0.625,0.6875,"a"
0.625,0.5625,0.5,0.375,"h"
0.625,0.5,0.25,0.3125,"a"
0.75,0.75,0.5,0.6875,"h"
0.5,0.5625,0.125,0.3125,"h"
0.125,0.1875,0,0.25,"h"
0.625,0.5,0.375,0.4375,"a"
0.125,0.125,0.625,0.625,"a"
1,0.875,0.375,0.4375,"h"
0.625,0.4375,0.625,0.6875,"a"
0.375,0.625,0.75,0.8125,"a"
0.5,0.3125,0.75,0.875,"a"
0.375,0.375,0.25,0.375,"h"
0.5,0.4375,0.625,0.6875,"a"
0.25,0.375,0.625,0.5625,"h"
0.75,0.5,0.25,0.3125,"h"
0.375,0.4375,0.125,0.3125,"h"
0.75,0.6875,0.5,0.625,"h"
0.875,0.5,0.25,0.4375,"h"
0.5,0.5625,0.875,0.8125,"a"
0.375,0.375,0.75,0.875,"a"
0,0.0625,0.5,0.4375,"a"
0.375,0.1875,0.5,0.5,"a"
0.875,0.6875,0.625,0.625,"a"
1,0.875,0.25,0.375,"h"
0.5,0.375,0.375,0.5,"h"
0.625,0.625,0.875,0.875,"a"
0.625,0.5625,0.375,0.375,"h"
0.5,0.375,0.5,0.6875,"a"
0.5,0.25,0.5,0.5,"h"
0.625,0.5,0.25,0.3125,"h"
0.5,0.5,0.5,0.5,"h"
0.875,0.875,0.5,0.4375,"h"
0.625,0.4375,0.625,0.6875,"h"
0.5,0.3125,0.25,0.1875,"h"
0.625,0.4375,0.25,0.5625,"a"
0.5,0.5625,0.625,0.4375,"a"
0,0.0625,0.75,0.625,"a"
0.5,0.375,0.25,0.375,"a"
0.5,0.4375,0.75,0.5625,"h"
0.625,0.625,0.375,0.5,"h"
0.75,0.625,0.375,0.5,"h"
0.875,0.875,0.375,0.4375,"h"
0.625,0.4375,0.125,0.375,"h"
0.625,0.5,0.25,0.375,"h"
0.625,0.625,0.875,0.8125,"a"
0.625,0.5625,0.125,0.0625,"h"
0.25,0.25,0.375,0.625,"a"
0.5,0.625,0.375,0.25,"a"
0.375,0.5,0.375,0.4375,"h"
0.625,0.5,0.25,0.375,"h"
0.25,0.25,0.5,0.625,"a"
0.625,0.4375,0.5,0.4375,"h"
0.25,0.5,0.625,0.75,"a"
1,0.875,0.625,0.8125,"h"
0.75,0.6875,0.625,0.5625,"h"
0.75,0.8125,0.125,0.1875,"h"
0.875,0.625,0.25,0.4375,"h"
0.875,0.75,0.5,0.75,"h"
0.875,0.875,0,0.25,"h"
0.375,0.5,0.25,0.125,"a"
0.625,0.5625,0.375,0.4375,"h"
0.5,0.5,0,0.25,"h"
0.625,0.625,0.25,0.4375,"h"
0.125,0.25,0.5,0.5,"a"
0.5,0.375,0.625,0.5625,"h"
0.625,0.625,0.75,0.875,"h"
0.25,0.5,0.5,0.5625,"a"
0.375,0.3125,0.25,0.25,"a"
0.5,0.5,0.5,0.5625,"a"
0.625,0.3125,0.5,0.4375,"h"
0.875,0.6875,0.25,0.4375,"a"
0.25,0.3125,0.625,0.4375,"h"
0,0.125,0.75,0.8125,"a"
0.5,0.375,0.375,0.3125,"a"
0.5,0.5,0.5,0.5,"a"
0.5,0.4375,0.125,0.3125,"a"
0.75,0.6875,0.125,0.1875,"h"
0.625,0.4375,0.375,0.625,"a"
0.5,0.5,0.875,0.875,"a"
0.875,0.8125,0.25,0.4375,"a"
0.75,0.6875,0.625,0.6875,"a"
0.625,0.75,0.5,0.5625,"a"
0.625,0.375,0.25,0.125,"h"
0.125,0.25,0.75,0.8125,"a"
0.625,0.4375,0.25,0.4375,"h"
0.5,0.5625,0.625,0.625,"a"
0.75,0.625,0.5,0.5,"h"
0.375,0.4375,0.375,0.3125,"a"
0.875,0.625,0.625,0.75,"a"
1,0.875,0,0.3125,"h"
0.375,0.4375,0.625,0.4375,"a"
0.5,0.4375,0.25,0.375,"h"
0.75,0.6875,0.75,0.6875,"h"
0.75,0.6875,0.125,0.3125,"h"
0.25,0.25,0.375,0.5,"a"
0.875,0.875,0.5,0.5625,"h"
0.625,0.4375,0.375,0.375,"h"
0.25,0.4375,0.875,0.9375,"a"
0.75,0.6875,0.5,0.3125,"a"
0.75,0.375,0.5,0.5,"h"
0.375,0.5,0.5,0.6875,"a"
0.75,0.75,0.25,0.375,"h"
0.75,0.625,0.375,0.375,"h"
0.625,0.625,0.375,0.3125,"h"
0.5,0.5,0.375,0.375,"h"
0.5,0.3125,0.375,0.3125,"a"
0,0.125,0.375,0.5,"a"
0.625,0.5,0.5,0.5625,"h"
0.5,0.3125,0.75,0.75,"a"
0.75,0.6875,0.625,0.6875,"h"
0.875,0.8125,0.75,0.8125,"h"
0.125,0.125,0.375,0.4375,"a"
0.5,0.375,0.625,0.6875,"a"
0.5,0.5,0.625,0.5625,"a"
0.625,0.5625,0.375,0.5625,"h"
0.375,0.375,0.25,0.375,"h"
0.125,0.125,0.75,0.75,"a"
0.125,0.1875,0.125,0.3125,"h"
0.125,0.3125,0.125,0.3125,"a"
0.75,0.625,0.625,0.6875,"a"
0.375,0.375,1,1,"a"
0.375,0.375,0.5,0.4375,"h"
0.375,0.3125,0.75,0.75,"a"
0.5,0.4375,0.5,0.5625,"a"
0.25,0.3125,0.75,0.8125,"a"
0.75,0.75,0.5,0.4375,"a"
0.75,0.6875,0.5,0.5625,"h"
0.625,0.3125,0.625,0.4375,"a"
0.75,0.75,0.5,0.625,"h"
0.375,0.4375,0.5,0.5625,"h"
0.625,0.625,0.25,0.1875,"h"
0.75,0.75,0.625,0.6875,"a"
0.625,0.5,0.875,0.8125,"a"
0.625,0.375,0.5,0.5625,"h"
0.75,0.625,0.25,0.25,"h"
0.125,0.3125,0.125,0.375,"a"
1,1,0.5,0.4375,"h"
0.375,0.375,0.375,0.375,"a"
0.5,0.375,0.25,0.375,"h"
0.25,0.1875,0.125,0.3125,"h"
0.75,0.75,0.5,0.5,"a"
0.75,0.6875,0.5,0.375,"h"
0.5,0.375,0.625,0.6875,"a"
0.375,0.375,0.5,0.5,"a"
0.625,0.4375,0.375,0.375,"h"
0.25,0.375,0.625,0.625,"a"
0.375,0.4375,1,1,"a"
0.375,0.4375,0.875,0.8125,"a"
0.75,0.625,0.5,0.3125,"h"
0.5,0.3125,0.5,0.4375,"a"
0.5,0.5,0.375,0.5,"a"
0.875,0.875,0.25,0.1875,"h"
0.375,0.3125,0.625,0.6875,"a"
0.75,0.4375,0.375,0.5,"h"
0.75,0.6875,0.125,0.1875,"h"
0.375,0.4375,0.75,0.75,"a"
0.75,0.6875,0.75,0.75,"h"
0.375,0.3125,0.375,0.375,"h"
0.5,0.3125,0.75,0.75,"a"
0.375,0.375,0.25,0.375,"a"
0.375,0.4375,0.125,0.25,"h"
0.375,0.4375,0.25,0.5,"a"
0.5,0.4375,0.125,0.3125,"h"
0.25,0.3125,0.5,0.5,"a"
0.75,0.6875,0.75,0.8125,"h"
0.125,0.1875,0.5,0.5625,"a"
0.75,0.6875,0.125,0.1875,"h"
0.5,0.375,0.125,0.3125,"h"
0.75,0.625,0.375,0.375,"h"
0.5,0.5,0.875,0.9375,"h"
0.375,0.375,0.625,0.375,"a"
0.625,0.5,0.375,0.3125,"h"
0.75,0.8125,0.625,0.6875,"h"
0.625,0.625,0.25,0.4375,"a"
0.375,0.3125,0.5,0.625,"h"
0.75,0.75,0.75,0.75,"h"
0.625,0.5,0.5,0.625,"h"
0.375,0.375,0.625,0.75,"h"
0.75,0.75,0.25,0.3125,"h"
0.25,0.1875,0.5,0.625,"a"
0.625,0.5625,0.125,0.3125,"h"
0.5,0.5,0.25,0.1875,"h"
0.75,0.6875,0.5,0.4375,"h"
0.125,0.25,0.375,0.5625,"a"
0.375,0.375,0.5,0.4375,"a"
0.125,0.375,0.375,0.4375,"a"
0.625,0.625,0.625,0.6875,"a"
0.5,0.5,0.375,0.4375,"a"
1,0.9375,0.375,0.375,"h"
0.75,0.75,0.125,0.25,"h"
0.75,0.8125,0.625,0.625,"a"
0.5,0.3125,0.25,0.4375,"h"
