"geid","gseason","gweek","htabbr","hthwr","htowr","htcwr","hthtor","hthtop","atabbr","atawr","atowr","atcwr","atator","atatop","gw"
"2015091000",2015,1,"NE",0.875,0.75,0.7604166865348816,0.375,0.48982638120651245,"PIT",0.625,0.6875,0.625,1,0.5579861402511597,"h"
"2015091300",2015,1,"CHI",0.25,0.3125,0.5104166865348816,1.875,0.5029513835906982,"GB",0.625,0.8125,0.6979166865348816,0.875,0.49274304509162903,"a"
"2015091301",2015,1,"STL",0.5,0.4375,0.3125,1.5,0.4738667905330658,"SEA",0.625,0.75,0.5729166865348816,0.625,0.5763415694236755,"h"
"2015091302",2015,1,"JAC",0.375,0.1875,0.3020833432674408,1.875,0.4604513943195343,"CAR",0.375,0.4375,0.4375,1.25,0.5553819537162781,"a"
"2015091303",2015,1,"WAS",0.25,0.1875,0.3333333432674408,2.625,0.4867708384990692,"MIA",0.625,0.5625,0.4479166567325592,1.375,0.48607638478279114,"a"
"2015091304",2015,1,"BUF",0.625,0.5625,0.3854166567325592,1.625,0.504444420337677,"IND",0.625,0.6875,0.6145833134651184,1.75,0.5047569274902344,"h"
"2015091305",2015,1,"NYJ",0.25,0.25,0.4791666567325592,2,0.49899306893348694,"CLE",0.375,0.4375,0.3125,2.375,0.4949652850627899,"h"
"2015091306",2015,1,"HOU",0.5,0.5,0.5,1.625,0.4905208349227905,"KC",0.5,0.625,0.4479166567325592,0.875,0.5255555510520935,"a"
"2015091307",2015,1,"ARI",0.875,0.6875,0.5104166865348816,0.875,0.4967361092567444,"NO",0.5,0.4375,0.6458333134651184,1.75,0.5001262426376343,"h"
"2015091308",2015,1,"SD",0.625,0.5625,0.5729166865348816,1.375,0.5128472447395325,"DET",0.5,0.6875,0.4166666567325592,1.125,0.4938541650772095,"h"
"2015091309",2015,1,"DEN",1,0.75,0.6041666865348816,1,0.518541693687439,"BAL",0.375,0.5625,0.6354166865348816,1.875,0.45760416984558105,"h"
"2015091310",2015,1,"OAK",0.375,0.1875,0.3333333432674408,1.375,0.4729166626930237,"CIN",0.625,0.625,0.5625,1.375,0.5140277743339539,"a"
"2015091311",2015,1,"TB",0,0.125,0.3125,1.5,0.47394514083862305,"TEN",0.125,0.125,0.3958333432674408,2.125,0.47701388597488403,"a"
"2015091312",2015,1,"DAL",0.625,0.8125,0.5520833134651184,1.875,0.535944938659668,"NYG",0.375,0.375,0.5104166865348816,1.25,0.5100347399711609,"h"
