@relation 'featureTraining_1-weka.filters.unsupervised.attribute.NumericToNominal-R1-4,9-weka.filters.unsupervised.attribute.NominalToString-C1-4,9'

@attribute geid string
@attribute gseason string
@attribute gweek string
@attribute htid string
@attribute hthwr numeric
@attribute htowr numeric
@attribute hthtor numeric
@attribute hthtop numeric
@attribute atid string
@attribute atawr numeric
@attribute atowr numeric
@attribute atator numeric
@attribute atatop numeric
@attribute gw {h,a}

@data
2010090900,2010,1,23,0.75,0.8125,1.5,0.502234,20,0.375,0.6875,1.625,0.487879,h
2010091200,2010,1,24,0.25,0.25,2.25,0.428854,3,0.25,0.3125,2.5,0.461667,h
2010091201,2010,1,9,0.25,0.3125,1.375,0.471146,10,0.5,0.5,1.75,0.533652,a
2010091202,2010,1,11,1,0.625,0.875,0.577847,2,0.375,0.5625,1.875,0.501678,h
2010091203,2010,1,5,0.625,0.625,1.5,0.519653,6,0.75,0.8125,1.625,0.474236,h
2010091204,2010,1,7,0.75,0.5,1.125,0.550988,13,0.375,0.4375,1.375,0.509965,h
2010091205,2010,1,8,0.75,0.5625,1.375,0.491973,15,0.25,0.25,1.875,0.480868,h
2010091206,2010,1,27,0.5,0.5,2.625,0.526196,22,0.375,0.5,2.25,0.480729,h
2010091207,2010,1,17,0.625,0.4375,1.375,0.489517,18,0,0.125,3,0.459861,h
2010091208,2010,1,32,0,0.0625,2,0.510382,29,0.75,0.625,2.625,0.513472,a
2010091209,2010,1,4,0.75,0.5625,1.5,0.524531,21,0.375,0.5625,1.875,0.521668,h
2010091210,2010,1,26,0.75,0.6875,1.5,0.476875,19,0.625,0.6875,1.5,0.538819,a
2010091211,2010,1,31,0.5,0.3125,1.75,0.47125,30,0.125,0.4375,1.75,0.470417,h
2010091212,2010,1,28,0.375,0.25,2.25,0.467062,25,0.5,0.625,1.375,0.545933,h
2010091300,2010,1,12,0.375,0.5,2.375,0.51999,1,0.375,0.5625,1.75,0.469514,a
2010091301,2010,1,14,0.25,0.3125,1.625,0.43646,16,0.75,0.75,0.75,0.517812,h
2010091900,2010,2,28,0.25,0.1875,1.75,0.462271,5,0.625,0.625,2,0.56229,a
2010091901,2010,2,19,0.75,0.6875,0.75,0.57434,9,0.375,0.3125,2.25,0.454351,h
2010091902,2010,2,20,0.875,0.625,1.125,0.593437,10,0.625,0.5625,1.75,0.516464,a
2010091903,2010,2,3,0.375,0.3125,1.375,0.486898,14,0.5,0.375,1.75,0.479653,a
2010091904,2010,2,8,0.75,0.5625,2,0.491904,4,0.5,0.625,1.375,0.548093,a
2010091905,2010,2,25,0.75,0.625,1,0.55691,17,0.375,0.5,2.875,0.45566,a
2010091906,2010,2,18,0.25,0.125,2,0.506007,26,0.625,0.6875,0.75,0.459826,a
2010091907,2010,2,21,0.75,0.5625,1.375,0.507118,29,0.625,0.5625,2.75,0.467535,h
2010091908,2010,2,22,0.625,0.5,1.5,0.521424,24,0.375,0.3125,2,0.519259,a
2010091909,2010,2,13,0.5,0.4375,1.625,0.508934,31,0.125,0.3125,2.25,0.428854,h
2010091910,2010,2,15,0.375,0.3125,2.375,0.488958,32,0.125,0.0625,2.25,0.45422,h
2010091911,2010,2,12,0.375,0.5,2.125,0.519781,11,0.25,0.625,2,0.494886,h
2010091912,2010,2,2,0.875,0.625,1,0.563611,1,0.375,0.5625,2,0.470903,h
2010091913,2010,2,16,0.875,0.8125,1.375,0.496493,7,0.25,0.5,2.125,0.462257,h
2010091914,2010,2,6,0.875,0.8125,1.375,0.480104,27,0.375,0.4375,1.875,0.501319,h
2010092000,2010,2,30,0.625,0.375,1.875,0.50934,23,0.875,0.8125,1.5,0.536272,a
2010092600,2010,3,27,0.375,0.375,2.875,0.51696,8,0.5,0.625,2.125,0.471771,a
2010092601,2010,3,22,0.5,0.4375,1.75,0.505486,2,0.375,0.625,1.875,0.517361,a
2010092602,2010,3,24,0.25,0.3125,2.375,0.463715,4,0.625,0.6875,1.5,0.531843,a
2010092603,2010,3,11,1,0.625,1,0.561979,9,0.375,0.3125,2.125,0.464663,h
