"geid","gseason","gweek","htabbr","hthwr","htowr","htcwr","hthtor","hthtop","atabbr","atawr","atowr","atcwr","atator","atatop","gw"
"2010090900",2010,1,"NO",0.75,0.8125,0.8125,1.5,0.5022335648536682,"MIN",0.375,0.6875,0.75,1.625,0.48787903785705566,"h"
"2010091200",2010,1,"TB",0.25,0.25,0.1875,2.25,0.42885416746139526,"CLE",0.25,0.3125,0.3125,2.5,0.46166667342185974,"h"
"2010091201",2010,1,"BUF",0.25,0.3125,0.375,1.375,0.4711458384990692,"MIA",0.5,0.5,0.4375,1.75,0.5336517691612244,"a"
"2010091202",2010,1,"NE",1,0.625,0.625,0.875,0.5778472423553467,"CIN",0.375,0.5625,0.625,1.875,0.5016784071922302,"h"
"2010091203",2010,1,"HOU",0.625,0.625,0.5625,1.5,0.519652783870697,"IND",0.75,0.8125,0.875,1.625,0.4742361009120941,"h"
"2010091204",2010,1,"JAC",0.75,0.5,0.4375,1.125,0.5509883165359497,"DEN",0.375,0.4375,0.5,1.375,0.5099653005599976,"h"
"2010091205",2010,1,"TEN",0.75,0.5625,0.5,1.375,0.49197322130203247,"OAK",0.25,0.25,0.3125,1.875,0.48086804151535034,"h"
"2010091206",2010,1,"NYG",0.5,0.5,0.5,2.625,0.5261961817741394,"CAR",0.375,0.5,0.5,2.25,0.4807291626930237,"h"
"2010091207",2010,1,"CHI",0.625,0.4375,0.4375,1.375,0.4895167946815491,"DET",0,0.125,0.125,3,0.4598610997200012,"h"
"2010091208",2010,1,"STL",0,0.0625,0.0625,2,0.5103819370269775,"ARI",0.75,0.625,0.625,2.625,0.5134721994400024,"a"
"2010091209",2010,1,"PIT",0.75,0.5625,0.5625,1.5,0.5245311856269836,"ATL",0.375,0.5625,0.5625,1.875,0.5216684341430664,"h"
"2010091210",2010,1,"PHI",0.75,0.6875,0.6875,1.5,0.4768750071525574,"GB",0.625,0.6875,0.6875,1.5,0.538819432258606,"a"
