"geid","gseason","gweek","htid","hthwr","htowr","hthtor","hthtop","atid","atawr","atowr","atator","atatop","gw"
"2010090900",2010,1,23,0.75,0.8125,1.5,0.5022335648536682,20,0.375,0.6875,1.625,0.48787903785705566,"h"
"2010091200",2010,1,24,0.25,0.25,2.25,0.42885416746139526,3,0.25,0.3125,2.5,0.46166667342185974,"h"
"2010091201",2010,1,9,0.25,0.3125,1.375,0.4711458384990692,10,0.5,0.5,1.75,0.5336517691612244,"a"
"2010091202",2010,1,11,1,0.625,0.875,0.5778472423553467,2,0.375,0.5625,1.875,0.5016784071922302,"h"
"2010091203",2010,1,5,0.625,0.625,1.5,0.519652783870697,6,0.75,0.8125,1.625,0.4742361009120941,"h"
"2010091204",2010,1,7,0.75,0.5,1.125,0.5509883165359497,13,0.375,0.4375,1.375,0.5099653005599976,"h"
"2010091205",2010,1,8,0.75,0.5625,1.375,0.49197322130203247,15,0.25,0.25,1.875,0.48086804151535034,"h"
"2010091206",2010,1,27,0.5,0.5,2.625,0.5261961817741394,22,0.375,0.5,2.25,0.4807291626930237,"h"
"2010091207",2010,1,17,0.625,0.4375,1.375,0.4895167946815491,18,0,0.125,3,0.4598610997200012,"h"
"2010091208",2010,1,32,0,0.0625,2,0.5103819370269775,29,0.75,0.625,2.625,0.5134721994400024,"a"
"2010091209",2010,1,4,0.75,0.5625,1.5,0.5245311856269836,21,0.375,0.5625,1.875,0.5216684341430664,"h"
"2010091210",2010,1,26,0.75,0.6875,1.5,0.4768750071525574,19,0.625,0.6875,1.5,0.538819432258606,"a"
"2010091211",2010,1,31,0.5,0.3125,1.75,0.4712499976158142,30,0.125,0.4375,1.75,0.4704166650772095,"h"
"2010091212",2010,1,28,0.375,0.25,2.25,0.4670615792274475,25,0.5,0.625,1.375,0.5459327697753906,"h"
"2010091300",2010,1,12,0.375,0.5,2.375,0.5199897289276123,1,0.375,0.5625,1.75,0.4695138931274414,"a"
"2010091301",2010,1,14,0.25,0.3125,1.625,0.4364604651927948,16,0.75,0.75,0.75,0.5178124904632568,"h"
"2010091900",2010,2,28,0.25,0.1875,1.75,0.46227145195007324,5,0.625,0.625,2,0.5622901320457458,"a"
"2010091901",2010,2,19,0.75,0.6875,0.75,0.574340283870697,9,0.375,0.3125,2.25,0.4543505311012268,"h"
"2010091902",2010,2,20,0.875,0.625,1.125,0.5934374928474426,10,0.625,0.5625,1.75,0.5164642930030823,"a"
"2010091903",2010,2,3,0.375,0.3125,1.375,0.4868979752063751,14,0.5,0.375,1.75,0.4796527624130249,"a"
"2010091904",2010,2,8,0.75,0.5625,2,0.49190378189086914,4,0.5,0.625,1.375,0.5480927228927612,"a"
"2010091905",2010,2,25,0.75,0.625,1,0.5569097399711609,17,0.375,0.5,2.875,0.4556597173213959,"a"
"2010091906",2010,2,18,0.25,0.125,2,0.5060069561004639,26,0.625,0.6875,0.75,0.45982638001441956,"a"
"2010091907",2010,2,21,0.75,0.5625,1.375,0.5071180462837219,29,0.625,0.5625,2.75,0.46753472089767456,"h"
"2010091908",2010,2,22,0.625,0.5,1.5,0.5214236378669739,24,0.375,0.3125,2,0.5192594528198242,"a"
"2010091909",2010,2,13,0.5,0.4375,1.625,0.5089336633682251,31,0.125,0.3125,2.25,0.42885416746139526,"h"
"2010091910",2010,2,15,0.375,0.3125,2.375,0.48895832896232605,32,0.125,0.0625,2.25,0.4542200565338135,"h"
"2010091911",2010,2,12,0.375,0.5,2.125,0.5197814106941223,11,0.25,0.625,2,0.49488580226898193,"h"
"2010091912",2010,2,2,0.875,0.625,1,0.5636110901832581,1,0.375,0.5625,2,0.47090277075767517,"h"
"2010091913",2010,2,16,0.875,0.8125,1.375,0.49649304151535034,7,0.25,0.5,2.125,0.46225693821907043,"h"
"2010091914",2010,2,6,0.875,0.8125,1.375,0.4801041781902313,27,0.375,0.4375,1.875,0.5013194680213928,"h"
"2010092000",2010,2,30,0.625,0.375,1.875,0.5093402862548828,23,0.875,0.8125,1.5,0.5362717509269714,"a"
"2010092600",2010,3,27,0.375,0.375,2.875,0.516960084438324,8,0.5,0.625,2.125,0.4717708230018616,"a"
"2010092601",2010,3,22,0.5,0.4375,1.75,0.5054861307144165,2,0.375,0.625,1.875,0.5173611044883728,"a"
"2010092602",2010,3,24,0.25,0.3125,2.375,0.4637152850627899,4,0.625,0.6875,1.5,0.5318427681922913,"a"
"2010092603",2010,3,11,1,0.625,1,0.5619791746139526,9,0.375,0.3125,2.125,0.464663028717041,"h"
"2010092604",2010,3,1,0.75,0.5625,1.125,0.5079514980316162,3,0.25,0.3125,2,0.4640972316265106,"h"
"2010092605",2010,3,20,0.875,0.625,1.375,0.593715250492096,18,0,0.125,3.125,0.4424305558204651,"h"
"2010092606",2010,3,23,0.625,0.75,1.75,0.48082050681114197,21,0.375,0.5625,1.75,0.5240537524223328,"a"
"2010092607",2010,3,32,0.125,0.125,1.75,0.5149305462837219,28,0.125,0.1875,1.125,0.4777430593967438,"h"
"2010092608",2010,3,5,0.625,0.625,1.625,0.5165972113609314,25,0.625,0.6875,1.125,0.5443008542060852,"a"
"2010092609",2010,3,14,0.375,0.4375,1.625,0.44607850909233093,30,0.125,0.375,1.75,0.4669097363948822,"h"
"2010092610",2010,3,7,0.625,0.4375,1.125,0.5484188199043274,26,0.75,0.75,0.75,0.46013888716697693,"a"
"2010092611",2010,3,13,0.375,0.375,1.75,0.515148937702179,6,0.75,0.8125,1.5,0.4709722101688385,"a"
"2010092612",2010,3,29,0.625,0.625,2.25,0.47062501311302185,15,0.25,0.3125,1.625,0.4958333373069763,"h"
"2010092613",2010,3,31,0.625,0.375,1.75,0.45944443345069885,16,0.75,0.8125,1.25,0.5519791841506958,"h"
