"hthwr","htowr","hthtor","hthtop","atawr","atowr","atator","atatop","gw"
0.75,0.8125,1.5,0.5022335648536682,0.375,0.6875,1.625,0.48787903785705566,"h"
0.25,0.25,2.25,0.42885416746139526,0.25,0.3125,2.5,0.46166667342185974,"h"
0.25,0.3125,1.375,0.4711458384990692,0.5,0.5,1.75,0.5336517691612244,"a"
1,0.625,0.875,0.5778472423553467,0.375,0.5625,1.875,0.5016784071922302,"h"
0.625,0.625,1.5,0.519652783870697,0.75,0.8125,1.625,0.4742361009120941,"h"
0.75,0.5,1.125,0.5509883165359497,0.375,0.4375,1.375,0.5099653005599976,"h"
0.75,0.5625,1.375,0.49197322130203247,0.25,0.25,1.875,0.48086804151535034,"h"
0.5,0.5,2.625,0.5261961817741394,0.375,0.5,2.25,0.4807291626930237,"h"
0.625,0.4375,1.375,0.4895167946815491,0,0.125,3,0.4598610997200012,"h"
0,0.0625,2,0.5103819370269775,0.75,0.625,2.625,0.5134721994400024,"a"
0.75,0.5625,1.5,0.5245311856269836,0.375,0.5625,1.875,0.5216684341430664,"h"
0.75,0.6875,1.5,0.4768750071525574,0.625,0.6875,1.5,0.538819432258606,"a"
0.5,0.3125,1.75,0.4712499976158142,0.125,0.4375,1.75,0.4704166650772095,"h"
0.375,0.25,2.25,0.4670615792274475,0.5,0.625,1.375,0.5459327697753906,"h"
0.375,0.5,2.375,0.5199897289276123,0.375,0.5625,1.75,0.4695138931274414,"a"
0.25,0.3125,1.625,0.4364604651927948,0.75,0.75,0.75,0.5178124904632568,"h"
0.25,0.1875,1.75,0.46227145195007324,0.625,0.625,2,0.5622901320457458,"a"
0.75,0.6875,0.75,0.574340283870697,0.375,0.3125,2.25,0.4543505311012268,"h"
0.875,0.625,1.125,0.5934374928474426,0.625,0.5625,1.75,0.5164642930030823,"a"
0.375,0.3125,1.375,0.4868979752063751,0.5,0.375,1.75,0.4796527624130249,"a"
0.75,0.5625,2,0.49190378189086914,0.5,0.625,1.375,0.5480927228927612,"a"
0.75,0.625,1,0.5569097399711609,0.375,0.5,2.875,0.4556597173213959,"a"
0.25,0.125,2,0.5060069561004639,0.625,0.6875,0.75,0.45982638001441956,"a"
0.75,0.5625,1.375,0.5071180462837219,0.625,0.5625,2.75,0.46753472089767456,"h"
0.625,0.5,1.5,0.5214236378669739,0.375,0.3125,2,0.5192594528198242,"a"
0.5,0.4375,1.625,0.5089336633682251,0.125,0.3125,2.25,0.42885416746139526,"h"
0.375,0.3125,2.375,0.48895832896232605,0.125,0.0625,2.25,0.4542200565338135,"h"
0.375,0.5,2.125,0.5197814106941223,0.25,0.625,2,0.49488580226898193,"h"
